group,full_name,stars,forks,open_issues,watchers,language,license,created_at,pushed_at,days_since_last_push,archived,source,note,topics,html_url,description
平台/低代码,open-webui/open-webui,148456,21613,437,650,Python,NOASSERTION,2023-10-06,2026-08-11,0,False,repo_api,,"ai,llm,llm-ui,llm-webui,llms,mcp,ollama,ollama-webui,open-webui,openai,openapi,rag,self-hosted,ui,webui",https://github.com/open-webui/open-webui,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)"
框架与SDK,langchain-ai/langchain,143963,23978,435,914,Python,MIT,2022-10-17,2026-08-11,0,False,repo_api,,"agents,ai,ai-agents,anthropic,chatgpt,deepagents,enterprise,framework,gemini,generative-ai,langchain,langgraph,llm,multiagent,open-source,openai,pydantic,python,rag,typescript",https://github.com/langchain-ai/langchain,The agent engineering platform.
Agent应用/编码智能体,anthropics/claude-code,141016,22665,15664,0,Python,,2025-02-22,2026-08-10,1,False,search_api(core rate-limited),,,https://github.com/anthropics/claude-code,"Claude Code is an agentic coding tool that lives in your terminal, understands your codebase, and helps you code faster by executing routine tasks, explaining complex code, and handling git workflows - all through natura"
Agent应用/编码智能体,browser-use/browser-use,108742,11948,353,452,Python,MIT,2024-10-31,2026-08-06,5,False,repo_api,,"ai-agents,ai-tools,browser-automation,browser-use,llm,playwright,python",https://github.com/browser-use/browser-use,🌐 Make websites accessible for AI agents. Automate tasks online with ease.
Agent应用/编码智能体,google-gemini/gemini-cli,106457,14418,852,0,TypeScript,Apache-2.0,2025-04-17,2026-08-11,0,False,search_api(repo endpoint rate-limited),,"ai,ai-agents,cli,gemini,gemini-api,mcp-client,mcp-server",https://github.com/google-gemini/gemini-cli,An open-source AI agent that brings the power of Gemini directly into your terminal.
Agent应用/编码智能体,openai/codex,105274,15946,12224,550,Rust,Apache-2.0,2025-04-13,2026-08-11,0,False,repo_api,,,https://github.com/openai/codex,Lightweight coding agent that runs in your terminal
多智能体编排,TauricResearch/TradingAgents,97490,18759,354,0,Python,Apache-2.0,2024-12-28,2026-07-18,24,False,search_api(core rate-limited),,"agent,finance,llm,multiagent,trading",https://github.com/TauricResearch/TradingAgents,TradingAgents: Multi-Agents LLM Financial Trading Framework
Agent应用/研究助手,karpathy/autoresearch,93644,13292,196,0,Python,,2026-03-06,2026-03-26,138,False,search_api(core rate-limited),,,https://github.com/karpathy/autoresearch,AI agents running research on single-GPU nanochat training automatically
协议/基础设施/记忆,thedotmack/claude-mem,90376,7873,403,0,JavaScript,Apache-2.0,2025-08-31,2026-08-10,1,False,search_api(core rate-limited),,"ai,ai-agents,ai-memory,anthropic,artificial-intelligence,chromadb,claude,claude-agent-sdk,claude-agents,claude-code,claude-code-plugin,claude-skills,embeddings,long-term-memory,mem0,memory-engine,openmemory,rag,sqlite,supermemory",https://github.com/thedotmack/claude-mem,"Persistent Context Across Sessions for Every Agent –  Captures everything your agent does during sessions, compresses it with AI, and injects relevant context back into future sessions. Works with Claude Code, OpenClaw, "
协议/基础设施/记忆,modelcontextprotocol/servers,89427,11423,500,633,TypeScript,NOASSERTION,2024-11-19,2026-08-10,1,False,repo_api,,,https://github.com/modelcontextprotocol/servers,Model Context Protocol Servers
Agent应用/编码智能体,earendil-works/pi,87258,10847,110,289,TypeScript,MIT,2025-08-09,2026-08-11,0,False,repo_api,,,https://github.com/earendil-works/pi,"AI agent toolkit: unified LLM API, agent loop, TUI, coding agent CLI"
协议/基础设施/记忆,infiniflow/ragflow,87248,10273,1905,354,Go,Apache-2.0,2023-12-12,2026-08-11,0,False,repo_api,,"agent-harness,agentic-ai,agentic-retrieval,agentic-search,ai,ai-agents,context-engine,context-engineering,context-management,harness-engineering,knowledge-compilation,llm-apps,rag,retrieval-augmented-generation",https://github.com/infiniflow/ragflow,RAGFlow is a leading open-source Retrieval-Augmented Generation (RAG) engine that fuses cutting-edge RAG with Agent capabilities to create a superior context layer for LLMs
Agent应用/编码智能体,OpenHands/OpenHands,83691,10825,432,475,TypeScript,MIT,2024-03-13,2026-08-11,0,False,repo_api,,"agent,artificial-intelligence,chatgpt,claude-ai,cli,developer-tools,gpt,llm,openai",https://github.com/OpenHands/OpenHands,🙌 OpenHands: AI-Driven Development
平台/低代码,lobehub/lobehub,81492,15787,690,301,TypeScript,NOASSERTION,2023-05-21,2026-08-11,0,False,repo_api,,"agent,agent-collaboration,agent-harness,ai,cao,chatgpt,chief-agent-operator,claude,deepseek,fable,gemini,glm,gpt,knowledge-base,loop-engineering,mcp,openai,skills",https://github.com/lobehub/lobehub,"🤯 LobeHub is your Chief Agent Operator, organizing your agents into 7×24 operations by hiring, scheduling, and reporting on your entire AI team."
多智能体编排,bytedance/deer-flow,79727,10905,981,331,Python,MIT,2025-05-07,2026-08-11,0,False,repo_api,,"agent,agentic,agentic-framework,agentic-workflow,ai,ai-agents,deep-research,harness,langchain,langgraph,langmanus,llm,multi-agent,nodejs,podcast,python,superagent,typescript",https://github.com/bytedance/deer-flow,"An open-source long-horizon SuperAgent harness that researches, codes, and creates. With the help of sandboxes, memories, tools, skill, subagents and message gateway, it handles different levels of tasks that could take "
多智能体编排,FoundationAgents/MetaGPT,69770,8879,128,914,Python,MIT,2023-06-30,2026-01-21,202,False,repo_api,,"agent,gpt,llm,metagpt,multi-agent",https://github.com/FoundationAgents/MetaGPT,"🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming"
Agent应用/编码智能体,cline/cline,65991,7088,976,280,TypeScript,Apache-2.0,2024-07-06,2026-08-11,0,False,repo_api,,,https://github.com/cline/cline,"Autonomous coding agent as an SDK, IDE extension, or CLI assistant."
协议/基础设施/记忆,mem0ai/mem0,63014,7344,722,240,Python,Apache-2.0,2023-06-20,2026-08-11,0,False,repo_api,,"agents,ai,ai-agents,application,chatbots,chatgpt,genai,llm,long-term-memory,memory,memory-management,python,rag,state-management",https://github.com/mem0ai/mem0,Universal memory layer for AI Agents
多智能体编排,microsoft/autogen,60356,9094,977,526,Python,CC-BY-4.0,2023-08-18,2026-04-15,118,False,repo_api,,"agentic,agentic-agi,agents,ai,autogen,autogen-ecosystem,chatgpt,framework,llm-agent,llm-framework",https://github.com/microsoft/autogen,A programming framework for agentic AI
多智能体编排,crewAIInc/crewAI,56931,8120,774,391,Python,MIT,2023-10-27,2026-08-11,0,False,repo_api,,"agents,ai,ai-agents,aiagentframework,llms",https://github.com/crewAIInc/crewAI,"Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks."
平台/低代码,FlowiseAI/Flowise,55316,24876,1045,363,TypeScript,NOASSERTION,2023-03-31,2026-08-10,1,False,repo_api,,"agentic-ai,agentic-workflow,agents,artificial-intelligence,chatbot,chatgpt,javascript,langchain,large-language-models,low-code,multiagent-systems,no-code,openai,rag,react,typescript,workflow-automation",https://github.com/FlowiseAI/Flowise,"Build AI Agents, Visually"
Agent应用/编码智能体,aaif-goose/goose,52669,5979,269,290,Rust,Apache-2.0,2024-08-23,2026-08-11,0,False,repo_api,,"acp,ai,ai-agents,mcp",https://github.com/aaif-goose/goose,"an open source, extensible AI agent that goes beyond code suggestions - install, execute, edit, and test with any LLM"
框架与SDK,run-llama/llama_index,51556,7912,606,278,Python,MIT,2022-11-02,2026-08-09,2,False,repo_api,,"agents,application,data,fine-tuning,framework,llamaindex,llm,multi-agents,rag,vector-database",https://github.com/run-llama/llama_index,LlamaIndex is the leading document agent and OCR platform
Agent应用/编码智能体,Aider-AI/aider,48116,4836,1788,255,Python,Apache-2.0,2023-05-09,2026-05-22,81,False,repo_api,,"anthropic,chatgpt,claude-3,cli,command-line,gemini,gpt-3,gpt-35-turbo,gpt-4,gpt-4o,llama,openai,sonnet",https://github.com/Aider-AI/aider,aider is AI pair programming in your terminal
框架与SDK,HKUDS/nanobot,46840,8284,714,204,Python,MIT,2026-02-01,2026-08-11,0,False,repo_api,,"agent-framework,ai-agent,ai-agents,chatbot,chatops,discord-bot,llm-agents,llms,local-llm,mcp,model-context-protocol,multi-agent,openai-compatible,openclaw,personal-ai-assistant,python,self-hosted,telegram-bot-ai-assistant,webui,workflow-automation",https://github.com/HKUDS/nanobot,"Ultra-lightweight, open-source, self-hosted personal AI agent framework in Python with WebUI, tools, memory, MCP, multi-agent workflows, automation, and chat apps"
框架与SDK,agno-agi/agno,41659,5754,1211,0,Python,Apache-2.0,2022-05-04,2026-08-11,0,False,search_api(core rate-limited),,"agents,ai,ai-agents,developer-tools,python",https://github.com/agno-agi/agno,"Build, run, and manage agent platforms."
框架与SDK,langchain-ai/langgraph,39440,6629,679,173,Python,MIT,2023-08-09,2026-08-11,0,False,repo_api,,"agents,ai,ai-agents,chatgpt,deepagents,enterprise,framework,gemini,generative-ai,langchain,langgraph,llm,multiagent,open-source,openai,pydantic,python,rag",https://github.com/langchain-ai/langgraph,Build resilient agents.
Agent应用/编码智能体,continuedev/continue,35430,5210,945,164,TypeScript,Apache-2.0,2023-05-24,2026-08-11,0,False,repo_api,,"agent,ai,cli,developer-tools,open-source",https://github.com/continuedev/continue,open-source coding agent
协议/基础设施/记忆,ComposioHQ/composio,29627,4698,66,0,TypeScript,MIT,2024-02-23,2026-08-11,0,False,search_api(core rate-limited),,"agentic-ai,agents,ai,ai-agents,aiagents,developer-tools,function-calling,gpt-4,javascript,js,llm,llmops,mcp,python,remote-mcp-server,sse,typescript",https://github.com/ComposioHQ/composio,"Composio powers 1000+ toolkits, tool search, context management, authentication, and a sandboxed workbench to help you build AI agents that turn intent into action."
多智能体编排,agentscope-ai/agentscope,28817,3334,346,154,Python,Apache-2.0,2024-01-12,2026-08-11,0,False,repo_api,,"agent,chatbot,large-language-models,llm,llm-agent,mcp,multi-agent,multi-modal,react-agent",https://github.com/agentscope-ai/agentscope,"Build and run agents you can see, understand and trust."
框架与SDK,huggingface/smolagents,28751,2849,751,137,Python,Apache-2.0,2024-12-05,2026-07-21,21,False,repo_api,,,https://github.com/huggingface/smolagents,🤗 smolagents: a barebones library for agents that think in code.
框架与SDK,openai/openai-agents-python,28555,4477,11,226,Python,MIT,2025-03-11,2026-08-11,0,False,repo_api,,"agents,ai,framework,harness,llm,openai,python",https://github.com/openai/openai-agents-python,"A lightweight, powerful framework for multi-agent workflows"
框架与SDK,microsoft/semantic-kernel,28439,4711,245,297,C#,MIT,2023-02-27,2026-08-10,1,False,repo_api,,"ai,artificial-intelligence,llm,openai,sdk",https://github.com/microsoft/semantic-kernel,Integrate cutting-edge LLM technology quickly and easily into your apps
框架与SDK,mastra-ai/mastra,27097,2606,417,95,TypeScript,NOASSERTION,2024-08-06,2026-08-11,0,False,repo_api,,"agents,ai,chatbots,evals,javascript,llm,mcp,nextjs,nodejs,reactjs,tts,typescript,workflows",https://github.com/mastra-ai/mastra,Mastra is the modern TypeScript framework for AI-powered applications and agents.
框架与SDK,deepset-ai/haystack,26173,2993,88,161,Python,Apache-2.0,2019-11-14,2026-08-11,0,False,repo_api,,"agent-framework,agentic-ai,agentic-rag,agents,ai,ai-agents,context-engineering,framework,genai,generative-ai,information-retrieval,large-language-models,llm,mcp,multi-agent,orchestration,python,rag,retrieval-augmented-generation,semantic-search",https://github.com/deepset-ai/haystack,"Open-source AI orchestration framework for building context-engineered, production-ready LLM applications. Design modular pipelines and agent workflows with explicit control over retrieval, routing, memory, and generatio"
框架与SDK,vercel/ai,26125,4938,1754,142,TypeScript,NOASSERTION,2023-05-23,2026-08-11,0,False,repo_api,,"anthropic,artificial-intelligence,gemini,generative-ai,generative-ui,javascript,language-model,llm,nextjs,openai,react,svelte,typescript,vercel,vue",https://github.com/vercel/ai,"The AI Toolkit for TypeScript. From the creators of Next.js, the AI SDK is a free open-source library for building AI-powered applications and agents "
协议/基础设施/记忆,a2aproject/A2A,25284,2561,230,236,Shell,Apache-2.0,2025-03-25,2026-08-10,1,False,repo_api,,"a2a,a2a-mcp,a2a-protocol,a2a-server,agents,generative-ai,linux-foundation",https://github.com/a2aproject/A2A,Agent2Agent (A2A) is an open protocol enabling communication and interoperability between opaque agentic applications.
协议/基础设施/记忆,letta-ai/letta,24186,2574,43,138,Python,Apache-2.0,2023-10-11,2026-08-01,10,False,repo_api,,"ai,ai-agents,llm,llm-agent",https://github.com/letta-ai/letta,Platform for stateful agents: AI with advanced memory that can learn and self-improve over time.
Agent应用/编码智能体,Skyvern-AI/skyvern,22730,2138,218,103,Python,AGPL-3.0,2024-02-28,2026-08-11,0,False,repo_api,,"ai,api,automation,browser,browser-automation,computer,gpt,llm,playwright,powerautomate,puppeteer,python,rpa,selenium,vision,workflow",https://github.com/Skyvern-AI/skyvern,Automate browser based workflows with AI
多智能体编排,openai/swarm,21893,2330,36,298,Python,MIT,2024-02-22,2026-04-15,118,False,repo_api,,,https://github.com/openai/swarm,"Educational framework exploring ergonomic, lightweight multi-agent orchestration. Managed by OpenAI Solution team."
框架与SDK,google/adk-python,21069,3814,562,148,Python,Apache-2.0,2025-04-01,2026-08-11,0,False,repo_api,,"agent,agentic,agentic-ai,agents,agents-sdk,ai,ai-agents,aiagentframework,genai,genai-chatbot,llm,llms,multi-agent,multi-agent-systems,multi-agents,multi-agents-collaboration",https://github.com/google/adk-python,"An open-source, code-first Python toolkit for building, evaluating, and deploying sophisticated AI agents with flexibility and control."
框架与SDK,pydantic/pydantic-ai,19219,2503,701,113,Python,MIT,2024-06-21,2026-08-11,0,False,repo_api,,"agent-framework,genai,llm,pydantic,python",https://github.com/pydantic/pydantic-ai,"AI Agent Framework, the Pydantic way"
Agent应用/编码智能体,elizaOS/eliza,18997,5625,461,147,TypeScript,MIT,2024-07-09,2026-08-11,0,False,repo_api,,"agent,agentic,ai,autonomous,chatbot,crypto,discord,eliza,elizaos,framework,plugins,rag,slack,swarm,telegram",https://github.com/elizaOS/eliza,Open source agentic operating system
多智能体编排,camel-ai/camel,17572,2039,466,121,Python,Apache-2.0,2023-03-17,2026-08-07,4,False,repo_api,,"agent,ai-societies,artificial-intelligence,communicative-ai,cooperative-ai,deep-learning,large-language-models,multi-agent-systems,natural-language-processing",https://github.com/camel-ai/camel,🐫 CAMEL: The first and the best multi-agent framework. Finding the Scaling Law of Agents. https://www.camel-ai.org
Agent应用/编码智能体,opencode-ai/opencode,13632,1768,158,56,Go,MIT,2025-03-16,2025-09-18,327,True,repo_api,,"ai,claude,code,llm,openai",https://github.com/opencode-ai/opencode,A powerful AI coding agent. Built for the terminal.
框架与SDK,microsoft/agent-framework,12727,2143,688,108,Python,MIT,2025-04-28,2026-08-11,0,False,repo_api,,"agent-framework,agentic-ai,agents,ai,dotnet,multi-agent,orchestration,python,sdk,workflows",https://github.com/microsoft/agent-framework,"A framework for building, orchestrating and deploying AI agents and multi-agent workflows with support for Python and .NET."
协议/基础设施/记忆,modelcontextprotocol/modelcontextprotocol,8921,1709,160,179,TypeScript,NOASSERTION,2024-09-24,2026-08-10,1,False,repo_api,,"docs,mcp,specification,standard",https://github.com/modelcontextprotocol/modelcontextprotocol,Specification and documentation for the Model Context Protocol
多智能体编排,2FastLabs/agent-squad,7734,733,80,50,Swift,Apache-2.0,2024-07-23,2026-08-10,1,False,repo_api,,"agentic-ai,agents,ai-agents,ai-agents-framework,anthropic,anthropic-claude,aws,aws-bedrock,aws-cdk,aws-lambda,chatbot,framework,generative-ai,machine-learning,openai,openaiapi,orchestrator,python,serverless,typescript",https://github.com/2FastLabs/agent-squad,Flexible and powerful framework for managing multiple AI agents and handling complex conversations
多智能体编排,ag2ai/ag2,4851,698,30,71,Python,Apache-2.0,2024-11-11,2026-08-11,0,False,repo_api,,"a2a,ag2,agent-framework,agentic,agentic-ai,ai,ai-agents-framework,aiagents,genai,llm,llms,mcp,multi-agent,multi-agent-system,open-source,python",https://github.com/ag2ai/ag2,AG2 (formerly AutoGen): The Open-Source AgentOS.Join us at: https://discord.gg/sNGSwQME3x
框架与SDK,anthropics/claude-agent-sdk-typescript,1688,212,181,15,Shell,,2025-09-27,2026-08-10,1,False,repo_api,,,https://github.com/anthropics/claude-agent-sdk-typescript,
